x,y
661,358
180,267
278,211
628,652
320,578
119,441
875,834
399,590
554,16
499,691
826,751
130,565
150,635
650,120
304,614
220,521
221,286
860,475
67,674
430,149
278,322
533,739
320,333
20,819
183,876
768,152
805,826
93,714
34,75
335,284
895,462
668,99
39,905
272,812
966,234
906,21
340,996
535,362
213,156
87,649
568,63
387,783
1,916
885,852
234,314
381,279
261,656
763,260
72,636
446,436
92,534
950,292
918,796
917,554
666,215
65,490
451,679
357,838
302,722
129,1
68,934
151,170
206,166
504,3
134,105
740,8
23,584
977,363
68,994
232,135
839,662
123,316
782,815
216,331
515,697
817,652
644,492
321,642
370,741
723,540
378,598
390,344
912,372
787,351
823,886
570,49
166,107
224,507
85,536
447,797
55,693
668,998
995,848
596,619
993,988
221,516
344,32
949,56
703,603
99,440
508,781
404,661
214,782
314,561
511,63
677,128
801,926
514,169
297,241
856,437
879,474
876,463
418,708
84,264
508,908
326,155
706,446
601,400
905,381
404,456
686,609
361,290
903,718
868,904
716,535
411,426
788,654
745,367
264,245
888,748
702,468
978,916
209,8
287,349
412,876
174,807
686,979
17,527
625,658
9,916
623,410
202,974
539,266
606,264
519,292
693,434
584,386
598,586
589,630
598,785
932,931
200,618
877,16
947,550
671,420
602,100
384,384
415,34
249,443
235,174
413,641
885,571
130,723
521,305
228,2
904,825
605,309
347,869
222,721
845,174
42,147
961,676
785,601
201,860
777,586
619,230
760,869
975,180
350,166
523,955
528,971
674,762
188,760
513,511
329,81
433,913
538,529
826,763
734,828
989,168
482,986
996,789
668,680
49,250
813,966
847,427
357,813
395,718
568,597
270,416
671,446
102,882
863,443
698,48
677,368
611,872
281,475
152,189
151,362
334,352
314,111
999,660
403,0
588,765
316,626
714,507
550,564
689,157
271,591
347,419
868,42
735,119
73,788
132,60
183,863
697,158
559,656
362,128
216,647
174,66
811,683
916,415
994,381
568,180
0,127
874,736
70,70
240,800
424,340
400,868
284,810
147,512
570,968
132,378
914,544
36,445
158,195
308,317
975,412
50,327
495,844
675,717
959,326
253,522
118,53
158,972
675,284
515,635
688,479
332,181
202,688
506,502
34,955
826,438
570,348
656,666
300,447
222,827
994,306
329,160
342,463
809,746
697,599
512,873
620,286
799,126
496,370
470,630
506,655
721,369
404,970
576,641
245,392
246,69
769,481
346,502
707,736
53,28
982,530
501,432
356,262
894,304
561,176
816,534
583,508
44,863
190,688
306,110
99,67
958,927
905,803
986,62
491,658
284,483
50,52
235,887
342,243
1,435
785,45
938,626
167,791
469,354
281,530
275,662
404,277
47,662
54,349
525,373
832,88
12,902
778,489
24,139
160,442
102,939
983,848
102,500
257,40
219,543
134,322
585,310
104,715
892,509
986,845
935,674
544,564
667,386
352,173
14,857
925,887
106,200
677,700
255,276
480,583
372,215
504,336
359,340
486,851
695,432
231,129
888,469
478,778
867,279
15,846
253,79
312,377
707,419
30,312
846,478
523,279
294,432
853,246
114,136
683,2
754,55
36,389
381,442
758,360
512,245
955,703
251,678
379,518
455,911
49,251
883,505
490,750
241,560
528,596
985,226
253,395
670,733
629,127
83,530
698,51
944,809
709,25
379,609
106,258
860,101
557,45
977,561
105,180
315,131
127,157
511,629
408,564
650,105
101,880
205,423
7,351
630,283
662,926
90,633
114,163
945,445
383,872
358,366
952,553
593,585
450,427
886,117
103,173
460,283
856,180
755,775
677,627
406,452
888,725
979,12
146,40
163,399
783,260
86,777
782,845
157,945
711,648
909,841
315,904
590,601
640,799
84,74
696,694
898,319
65,729
944,182
440,596
372,651
251,764
27,650
14,374
32,173
390,343
981,767
214,960
121,542
295,326
192,199
430,219
85,752
47,701
13,278
234,710
856,355
24,267
931,239
882,22
275,293
856,959
330,793
497,339
358,678
329,203
148,734
866,35
486,871
860,0
698,195
197,524
680,16
646,629
928,372
382,744
519,989
309,46
440,830
125,518
33,7
620,550
758,730
348,18
128,734
831,498
393,645
16,239
726,78
832,229
145,324
264,71
84,970
114,722
539,422
622,504
885,966
455,11
127,347
826,305
851,493
93,437
466,23
39,499
881,319
79,358
92,650
441,819
107,934
875,977
683,532
60,91
911,221
617,305
873,903
276,616
638,436
959,382
57,6
861,580
940,799
619,703
948,281
129,534
131,2
408,824
761,504
12,676
487,704
996,868
523,922
163,625
674,736
11,452
426,106
487,746
473,524
113,402
976,422
948,834
556,222
629,703
663,912
133,382
840,21
8,615
675,282
31,367
63,643
423,506
254,47
611,861
203,713
702,235
634,393
564,922
495,67
788,192
122,480
253,963
438,735
98,520
78,225
247,451
749,993
331,661
21,365
63,520
469,810
127,758
434,809
44,380
372,478
677,868
972,693
311,614
149,347
682,64
239,117
584,859
894,275
615,793
111,883
696,639
479,648
264,338
846,90
592,215
916,160
702,478
751,788
546,816
685,86
966,568
903,261
181,482
670,893
508,431
105,676
592,971
274,354
967,987
234,484
569,150
44,757
195,20
554,607
122,843
301,189
950,442
69,281
282,964
367,794
549,990
392,992
150,637
365,700
294,402
24,277
461,698
73,298
197,414
788,526
221,297
556,91
458,846
294,771
499,846
284,253
33,796
303,435
455,390
577,78
836,739
1,919
369,244
587,266
360,789
970,216
988,303
709,755
263,948
721,284
765,76
464,417
979,546
276,295
327,170
243,574
942,136
579,274
395,48
954,672
440,462
283,180
823,530
5,176
669,963
38,592
78,802
301,601
534,738
393,922
767,687
485,959
658,281
963,63
975,591
819,122
767,244
553,766
220,915
395,8
854,877
612,487
633,354
535,433
556,339
349,688
1,45
179,971
961,359
555,169
483,716
148,580
74,682
368,218
414,52
93,918
408,946
799,814
802,484
194,556
546,323
63,217
248,544
774,592
212,541
316,219
613,605
157,404
630,272
763,558
325,622
997,90
896,728
441,631
361,814
859,810
264,499
848,139
981,502
715,190
62,272
250,160
580,511
455,835
666,810
515,898
632,591
878,262
611,792
623,958
501,223
919,200
535,626
287,95
58,577
505,404
351,855
983,774
680,838
74,637
528,782
22,908
333,773
649,853
988,16
289,198
148,103
152,778
794,868
325,326
380,263
938,812
93,647
464,227
230,790
490,575
243,517
863,167
22,442
464,459
141,779
376,450
520,288
503,890
961,657
50,561
430,80
860,782
436,251
802,928
586,122
210,320
18,152
931,221
573,287
327,961
532,779
227,565
29,704
968,7
812,244
413,420
19,47
889,150
559,317
152,975
375,90
185,585
220,918
756,105
286,396
681,148
761,612
983,125
700,897
171,768
41,143
653,859
915,6
395,710
594,177
582,849
677,753
42,203
133,460
92,562
719,831
193,93
685,433
481,19
85,966
425,820
209,254
5,497
896,210
738,101
237,590
588,598
663,201
872,600
196,400
412,57
839,754
488,266
694,577
345,253
607,64
31,535
662,264
422,395
242,447
196,750
747,356
704,420
27,57
207,860
182,825
1,774
414,128
869,740
300,46
391,445
380,13
714,764
323,442
23,40
369,530
775,157
753,478
158,642
374,124
912,157
573,248
780,400
138,710
582,296
271,651
717,846
248,207
927,527
857,748
399,757
161,11
325,348
286,951
286,125
751,159
3,87
1,358
130,429
843,839
968,376
440,359
181,655
990,899
665,944
96,978
202,788
790,230
450,904
594,883
240,406
24,758
51,858
754,814
673,225
678,273
281,70
721,185
397,606
857,209
393,955
88,387
876,334
783,642
656,35
878,558
995,615
696,149
770,79
548,959
588,570
242,57
749,447
516,480
795,642
21,52
884,210
276,945
974,865
410,350
275,948
597,204
190,118
516,70
254,707
367,591
671,994
5,259
256,966
411,281
354,412
598,926
947,619
364,423
978,891
397,92
221,158
882,237
792,983
951,825
161,137
43,907
277,592
215,80
960,249
782,876
402,966
517,186
669,407
239,111
36,892
528,109
504,765
324,231
731,284
604,150
756,277
821,837
923,839
472,776
975,625
859,350
66,160
717,257
509,287
654,590
369,411
480,67
796,591
447,248
565,214
242,413
972,697
218,554
658,699
766,248
94,699
179,769
425,753
406,958
821,64
562,388
899,828
769,89
519,285
173,538
294,161
463,304
601,50
34,792
455,822
599,715
331,210
386,121
792,259
144,318
501,651
826,693
180,451
88,702
4,456
401,188
535,72
810,975
700,925
770,999
892,368
365,881
158,953
961,596
178,840
262,812
188,315
220,163
549,848
861,45
626,633
364,347
814,160
834,464
237,649
